"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade, com rendimento (Pessoas)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Marco - Belém (PA)";"60 a 69 anos";"3681";"1656";"2025"
"Marco - Belém (PA)";"70 anos ou mais";"3370";"1298";"2072"
"Fátima - Belém (PA)";"Total";"6379";"3171";"3208"
"Fátima - Belém (PA)";"10 a 14 anos";"45";"22";"23"
"Fátima - Belém (PA)";"15 a 19 anos";"162";"84";"78"
"Fátima - Belém (PA)";"15 a 17 anos";"61";"30";"31"
"Fátima - Belém (PA)";"18 ou 19 anos";"101";"54";"47"
"Fátima - Belém (PA)";"20 a 24 anos";"534";"268";"266"
"Fátima - Belém (PA)";"25 a 29 anos";"722";"386";"336"
"Fátima - Belém (PA)";"30 a 34 anos";"777";"434";"343"
"Fátima - Belém (PA)";"35 a 39 anos";"696";"371";"325"
"Fátima - Belém (PA)";"40 a 44 anos";"647";"315";"332"
"Fátima - Belém (PA)";"45 a 49 anos";"588";"315";"273"
"Fátima - Belém (PA)";"50 a 54 anos";"513";"268";"245"
"Fátima - Belém (PA)";"55 a 59 anos";"430";"195";"235"
"Fátima - Belém (PA)";"60 a 69 anos";"663";"290";"373"
"Fátima - Belém (PA)";"70 anos ou mais";"602";"223";"379"
"Nazaré - Belém (PA)";"Total";"13138";"5762";"7376"
"Nazaré - Belém (PA)";"10 a 14 anos";"30";"10";"20"
"Nazaré - Belém (PA)";"15 a 19 anos";"212";"84";"128"
"Nazaré - Belém (PA)";"15 a 17 anos";"61";"20";"41"
"Nazaré - Belém (PA)";"18 ou 19 anos";"151";"64";"87"
"Nazaré - Belém (PA)";"20 a 24 anos";"903";"406";"497"
"Nazaré - Belém (PA)";"25 a 29 anos";"1236";"567";"669"
"Nazaré - Belém (PA)";"30 a 34 anos";"1260";"596";"664"
"Nazaré - Belém (PA)";"35 a 39 anos";"1186";"543";"643"
"Nazaré - Belém (PA)";"40 a 44 anos";"1166";"541";"625"
"Nazaré - Belém (PA)";"45 a 49 anos";"1317";"594";"723"
"Nazaré - Belém (PA)";"50 a 54 anos";"1235";"558";"677"
"Nazaré - Belém (PA)";"55 a 59 anos";"1093";"484";"609"
"Nazaré - Belém (PA)";"60 a 69 anos";"1662";"732";"930"
"Nazaré - Belém (PA)";"70 anos ou mais";"1838";"647";"1191"
