"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento (Reais)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Sacramenta - Belém (PA)";"60 a 69 anos";"510,00";"750,00";"510,00"
"Sacramenta - Belém (PA)";"70 anos ou mais";"510,00";"510,00";"510,00"
"São Brás - Belém (PA)";"Total";"1500,00";"2000,00";"1268,00"
"São Brás - Belém (PA)";"10 a 14 anos";"450,00";"505,00";"325,00"
"São Brás - Belém (PA)";"15 a 19 anos";"510,00";"535,00";"510,00"
"São Brás - Belém (PA)";"15 a 17 anos";"510,00";"505,00";"510,00"
"São Brás - Belém (PA)";"18 ou 19 anos";"510,00";"600,00";"510,00"
"São Brás - Belém (PA)";"20 a 24 anos";"600,00";"700,00";"600,00"
"São Brás - Belém (PA)";"25 a 29 anos";"1020,00";"1200,00";"1000,00"
"São Brás - Belém (PA)";"30 a 34 anos";"1500,00";"1600,00";"1200,00"
"São Brás - Belém (PA)";"35 a 39 anos";"1500,00";"1750,00";"1300,00"
"São Brás - Belém (PA)";"40 a 44 anos";"1800,00";"2000,00";"1500,00"
"São Brás - Belém (PA)";"45 a 49 anos";"2000,00";"2500,00";"1800,00"
"São Brás - Belém (PA)";"50 a 54 anos";"2000,00";"2800,00";"1743,50"
"São Brás - Belém (PA)";"55 a 59 anos";"2500,00";"2800,00";"2100,00"
"São Brás - Belém (PA)";"60 a 69 anos";"2279,00";"3000,00";"1900,00"
"São Brás - Belém (PA)";"70 anos ou mais";"1500,00";"2045,00";"1100,00"
"Souza - Belém (PA)";"Total";"1200,00";"1500,00";"1000,00"
"Souza - Belém (PA)";"10 a 14 anos";"200,00";"250,00";"200,00"
"Souza - Belém (PA)";"15 a 19 anos";"510,00";"510,00";"455,00"
"Souza - Belém (PA)";"15 a 17 anos";"300,00";"510,00";"255,00"
"Souza - Belém (PA)";"18 ou 19 anos";"510,00";"510,00";"510,00"
"Souza - Belém (PA)";"20 a 24 anos";"600,00";"750,00";"510,00"
"Souza - Belém (PA)";"25 a 29 anos";"1000,00";"1020,00";"1000,00"
"Souza - Belém (PA)";"30 a 34 anos";"1200,00";"1500,00";"1000,00"
"Souza - Belém (PA)";"35 a 39 anos";"1530,00";"2005,00";"1200,00"
"Souza - Belém (PA)";"40 a 44 anos";"1998,00";"2500,00";"1200,00"
"Souza - Belém (PA)";"45 a 49 anos";"1800,00";"2500,00";"1200,00"
"Souza - Belém (PA)";"50 a 54 anos";"1500,00";"2000,00";"1200,00"
"Souza - Belém (PA)";"55 a 59 anos";"1600,00";"2000,00";"1500,00"
"Souza - Belém (PA)";"60 a 69 anos";"1200,00";"1800,00";"1020,00"
"Souza - Belém (PA)";"70 anos ou mais";"900,00";"1200,00";"700,00"
"Telégrafo - Belém (PA)";"Total";"510,00";"650,00";"510,00"
"Telégrafo - Belém (PA)";"10 a 14 anos";"112,00";"112,00";"110,50"
"Telégrafo - Belém (PA)";"15 a 19 anos";"400,00";"500,00";"350,00"
"Telégrafo - Belém (PA)";"15 a 17 anos";"260,00";"260,00";"255,00"
"Telégrafo - Belém (PA)";"18 ou 19 anos";"510,00";"510,00";"510,00"
"Telégrafo - Belém (PA)";"20 a 24 anos";"510,00";"510,00";"510,00"
"Telégrafo - Belém (PA)";"25 a 29 anos";"510,00";"540,00";"510,00"
"Telégrafo - Belém (PA)";"30 a 34 anos";"560,00";"657,00";"510,00"
"Telégrafo - Belém (PA)";"35 a 39 anos";"600,00";"700,00";"510,00"
"Telégrafo - Belém (PA)";"40 a 44 anos";"650,00";"780,00";"510,00"
"Telégrafo - Belém (PA)";"45 a 49 anos";"700,00";"800,00";"510,00"
"Telégrafo - Belém (PA)";"50 a 54 anos";"700,00";"800,00";"540,00"
"Telégrafo - Belém (PA)";"55 a 59 anos";"780,00";"1000,00";"600,00"
"Telégrafo - Belém (PA)";"60 a 69 anos";"510,00";"800,00";"510,00"
"Telégrafo - Belém (PA)";"70 anos ou mais";"510,00";"510,00";"510,00"
"Montese (Terra Firme) - Belém (PA)";"Total";"510,00";"510,00";"510,00"
"Montese (Terra Firme) - Belém (PA)";"10 a 14 anos";"90,00";"90,00";"80,00"
"Montese (Terra Firme) - Belém (PA)";"15 a 19 anos";"300,00";"400,00";"255,00"
"Montese (Terra Firme) - Belém (PA)";"15 a 17 anos";"200,00";"240,00";"150,00"
"Montese (Terra Firme) - Belém (PA)";"18 ou 19 anos";"500,00";"510,00";"400,00"
"Montese (Terra Firme) - Belém (PA)";"20 a 24 anos";"510,00";"510,00";"510,00"
"Montese (Terra Firme) - Belém (PA)";"25 a 29 anos";"510,00";"510,00";"510,00"
"Montese (Terra Firme) - Belém (PA)";"30 a 34 anos";"510,00";"510,00";"510,00"
"Montese (Terra Firme) - Belém (PA)";"35 a 39 anos";"510,00";"600,00";"510,00"
"Montese (Terra Firme) - Belém (PA)";"40 a 44 anos";"510,00";"600,00";"510,00"
"Montese (Terra Firme) - Belém (PA)";"45 a 49 anos";"510,00";"700,00";"510,00"
"Montese (Terra Firme) - Belém (PA)";"50 a 54 anos";"510,00";"690,00";"510,00"
"Montese (Terra Firme) - Belém (PA)";"55 a 59 anos";"510,00";"600,00";"510,00"
"Montese (Terra Firme) - Belém (PA)";"60 a 69 anos";"510,00";"510,00";"510,00"
"Montese (Terra Firme) - Belém (PA)";"70 anos ou mais";"510,00";"510,00";"510,00"
"Campina - Belém (PA)";"Total";"1530,00";"2000,00";"1500,00"
"Campina - Belém (PA)";"10 a 14 anos";"510,00";"150,00";"615,00"
"Campina - Belém (PA)";"15 a 19 anos";"510,00";"555,00";"510,00"
"Campina - Belém (PA)";"15 a 17 anos";"510,00";"510,00";"600,00"
"Campina - Belém (PA)";"18 ou 19 anos";"510,00";"850,00";"510,00"
"Campina - Belém (PA)";"20 a 24 anos";"800,00";"900,00";"760,00"
"Campina - Belém (PA)";"25 a 29 anos";"1200,00";"1200,00";"1100,00"
"Campina - Belém (PA)";"30 a 34 anos";"1200,00";"1500,00";"1021,00"
"Campina - Belém (PA)";"35 a 39 anos";"1500,00";"1500,00";"1300,00"
"Campina - Belém (PA)";"40 a 44 anos";"2000,00";"2650,00";"2000,00"
"Campina - Belém (PA)";"45 a 49 anos";"2000,00";"2000,00";"2000,00"
"Campina - Belém (PA)";"50 a 54 anos";"2500,00";"3000,00";"2000,00"
"Campina - Belém (PA)";"55 a 59 anos";"2500,00";"3000,00";"2000,00"
"Campina - Belém (PA)";"60 a 69 anos";"2000,00";"2200,00";"1680,00"
"Campina - Belém (PA)";"70 anos ou mais";"2000,00";"2400,00";"1600,00"
"Umarizal - Belém (PA)";"Total";"1500,00";"1700,00";"1200,00"
"Umarizal - Belém (PA)";"10 a 14 anos";"510,00";"510,00";"510,00"
"Umarizal - Belém (PA)";"15 a 19 anos";"510,00";"510,00";"510,00"
"Umarizal - Belém (PA)";"15 a 17 anos";"360,00";"330,00";"400,00"
"Umarizal - Belém (PA)";"18 ou 19 anos";"510,00";"510,00";"510,00"
"Umarizal - Belém (PA)";"20 a 24 anos";"600,00";"660,00";"510,00"
"Umarizal - Belém (PA)";"25 a 29 anos";"1000,00";"1200,00";"1000,00"
"Umarizal - Belém (PA)";"30 a 34 anos";"1300,00";"1500,00";"1100,00"
"Umarizal - Belém (PA)";"35 a 39 anos";"1500,00";"1500,00";"1200,00"
"Umarizal - Belém (PA)";"40 a 44 anos";"1530,00";"2000,00";"1500,00"
"Umarizal - Belém (PA)";"45 a 49 anos";"2000,00";"2000,00";"1650,00"
"Umarizal - Belém (PA)";"50 a 54 anos";"2000,00";"2550,00";"2000,00"
"Umarizal - Belém (PA)";"55 a 59 anos";"2500,00";"3000,00";"2000,00"
"Umarizal - Belém (PA)";"60 a 69 anos";"2000,00";"2750,00";"1500,00"
"Umarizal - Belém (PA)";"70 anos ou mais";"1200,00";"2000,00";"1000,00"
"Barreiro - Belém (PA)";"Total";"510,00";"510,00";"510,00"
"Barreiro - Belém (PA)";"10 a 14 anos";"101,00";"112,00";"100,00"
"Barreiro - Belém (PA)";"15 a 19 anos";"400,00";"510,00";"220,00"
