"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Valor do rendimento nominal médio mensal das pessoas de 10 anos ou mais de idade, com rendimento (Reais)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Pedreira - Belém (PA)";"10 a 14 anos";"376,07";"407,42";"346,50"
"Pedreira - Belém (PA)";"15 a 19 anos";"482,90";"510,52";"451,23"
"Pedreira - Belém (PA)";"15 a 17 anos";"404,86";"426,02";"384,01"
"Pedreira - Belém (PA)";"18 ou 19 anos";"525,45";"551,72";"492,69"
"Pedreira - Belém (PA)";"20 a 24 anos";"767,69";"806,14";"723,72"
"Pedreira - Belém (PA)";"25 a 29 anos";"1133,81";"1196,20";"1066,17"
"Pedreira - Belém (PA)";"30 a 34 anos";"1484,98";"1658,52";"1301,12"
"Pedreira - Belém (PA)";"35 a 39 anos";"1605,35";"1791,20";"1415,33"
"Pedreira - Belém (PA)";"40 a 44 anos";"1768,65";"1955,11";"1575,16"
"Pedreira - Belém (PA)";"45 a 49 anos";"1972,33";"2152,78";"1786,14"
"Pedreira - Belém (PA)";"50 a 54 anos";"2192,08";"2648,94";"1728,58"
"Pedreira - Belém (PA)";"55 a 59 anos";"2525,05";"2563,64";"2486,74"
"Pedreira - Belém (PA)";"60 a 69 anos";"1852,54";"2250,41";"1537,27"
"Pedreira - Belém (PA)";"70 anos ou mais";"1405,02";"1654,52";"1270,42"
"Reduto - Belém (PA)";"Total";"4334,58";"5641,71";"3289,68"
"Reduto - Belém (PA)";"10 a 14 anos";"973,57";"1084,00";"912,22"
"Reduto - Belém (PA)";"15 a 19 anos";"1044,14";"1328,20";"785,91"
"Reduto - Belém (PA)";"15 a 17 anos";"929,81";"1338,88";"678,08"
"Reduto - Belém (PA)";"18 ou 19 anos";"1101,31";"1324,32";"856,00"
"Reduto - Belém (PA)";"20 a 24 anos";"1181,11";"1295,14";"1093,67"
"Reduto - Belém (PA)";"25 a 29 anos";"2353,31";"2670,35";"2095,31"
"Reduto - Belém (PA)";"30 a 34 anos";"3184,96";"3578,11";"2808,99"
"Reduto - Belém (PA)";"35 a 39 anos";"3725,48";"4513,77";"3000,61"
"Reduto - Belém (PA)";"40 a 44 anos";"4379,45";"5457,67";"3476,74"
"Reduto - Belém (PA)";"45 a 49 anos";"4867,27";"5777,54";"4100,94"
"Reduto - Belém (PA)";"50 a 54 anos";"7768,54";"10999,89";"4926,15"
"Reduto - Belém (PA)";"55 a 59 anos";"6233,90";"8105,82";"4661,11"
"Reduto - Belém (PA)";"60 a 69 anos";"5832,80";"7894,78";"4279,78"
"Reduto - Belém (PA)";"70 anos ou mais";"3470,39";"5197,05";"2534,19"
"Sacramenta - Belém (PA)";"Total";"906,75";"1029,88";"771,39"
"Sacramenta - Belém (PA)";"10 a 14 anos";"257,97";"268,45";"247,23"
"Sacramenta - Belém (PA)";"15 a 19 anos";"394,95";"420,09";"360,34"
"Sacramenta - Belém (PA)";"15 a 17 anos";"306,24";"312,03";"299,74"
"Sacramenta - Belém (PA)";"18 ou 19 anos";"453,11";"481,32";"408,59"
"Sacramenta - Belém (PA)";"20 a 24 anos";"652,29";"687,12";"605,92"
"Sacramenta - Belém (PA)";"25 a 29 anos";"800,61";"840,99";"750,92"
"Sacramenta - Belém (PA)";"30 a 34 anos";"867,83";"955,58";"763,47"
"Sacramenta - Belém (PA)";"35 a 39 anos";"940,42";"1071,41";"782,29"
"Sacramenta - Belém (PA)";"40 a 44 anos";"994,45";"1139,04";"826,91"
"Sacramenta - Belém (PA)";"45 a 49 anos";"1064,77";"1245,97";"864,72"
"Sacramenta - Belém (PA)";"50 a 54 anos";"1028,25";"1180,16";"845,11"
"Sacramenta - Belém (PA)";"55 a 59 anos";"1122,52";"1314,85";"926,27"
"Sacramenta - Belém (PA)";"60 a 69 anos";"1153,24";"1498,99";"856,22"
"Sacramenta - Belém (PA)";"70 anos ou mais";"848,04";"1043,95";"736,88"
"São Brás - Belém (PA)";"Total";"2918,10";"3607,25";"2363,32"
"São Brás - Belém (PA)";"10 a 14 anos";"1077,25";"1000,00";"1154,50"
"São Brás - Belém (PA)";"15 a 19 anos";"790,50";"820,21";"758,75"
"São Brás - Belém (PA)";"15 a 17 anos";"762,43";"746,70";"774,54"
"São Brás - Belém (PA)";"18 ou 19 anos";"804,14";"848,13";"748,98"
"São Brás - Belém (PA)";"20 a 24 anos";"1054,47";"1211,69";"916,42"
"São Brás - Belém (PA)";"25 a 29 anos";"1790,00";"2024,94";"1578,24"
"São Brás - Belém (PA)";"30 a 34 anos";"2610,43";"3038,40";"2204,75"
"São Brás - Belém (PA)";"35 a 39 anos";"2680,44";"3221,07";"2225,59"
"São Brás - Belém (PA)";"40 a 44 anos";"3158,77";"3808,06";"2600,23"
"São Brás - Belém (PA)";"45 a 49 anos";"3520,64";"4240,60";"2887,17"
"São Brás - Belém (PA)";"50 a 54 anos";"3666,00";"4668,84";"2852,56"
"São Brás - Belém (PA)";"55 a 59 anos";"4037,45";"5152,15";"3126,54"
"São Brás - Belém (PA)";"60 a 69 anos";"3935,14";"5232,20";"2960,78"
"São Brás - Belém (PA)";"70 anos ou mais";"2847,52";"3931,21";"2277,81"
"Souza - Belém (PA)";"Total";"2043,96";"2439,95";"1651,92"
"Souza - Belém (PA)";"10 a 14 anos";"359,70";"360,79";"358,54"
"Souza - Belém (PA)";"15 a 19 anos";"513,17";"566,54";"467,91"
"Souza - Belém (PA)";"15 a 17 anos";"359,80";"473,31";"264,21"
"Souza - Belém (PA)";"18 ou 19 anos";"561,53";"595,78";"532,42"
"Souza - Belém (PA)";"20 a 24 anos";"891,10";"992,30";"784,29"
"Souza - Belém (PA)";"25 a 29 anos";"1539,48";"1730,74";"1356,64"
"Souza - Belém (PA)";"30 a 34 anos";"1887,75";"2138,64";"1605,19"
"Souza - Belém (PA)";"35 a 39 anos";"2355,77";"2799,59";"1853,78"
"Souza - Belém (PA)";"40 a 44 anos";"2685,65";"3202,79";"2061,01"
"Souza - Belém (PA)";"45 a 49 anos";"2603,47";"3208,98";"1968,38"
"Souza - Belém (PA)";"50 a 54 anos";"2551,34";"3132,98";"2017,19"
"Souza - Belém (PA)";"55 a 59 anos";"2508,29";"2870,63";"2189,31"
"Souza - Belém (PA)";"60 a 69 anos";"2244,91";"2716,18";"1845,43"
"Souza - Belém (PA)";"70 anos ou mais";"1740,99";"2297,45";"1388,11"
"Telégrafo - Belém (PA)";"Total";"1009,73";"1124,42";"887,39"
"Telégrafo - Belém (PA)";"10 a 14 anos";"236,00";"270,35";"205,07"
