"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade, com rendimento - percentual do total geral"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Marco - Belém (PA)";"25 a 29 anos";"12,11";"6,06";"6,06"
"Marco - Belém (PA)";"30 a 34 anos";"11,56";"5,92";"5,63"
"Marco - Belém (PA)";"35 a 39 anos";"10,55";"5,31";"5,23"
"Marco - Belém (PA)";"40 a 44 anos";"10,49";"5,32";"5,17"
"Marco - Belém (PA)";"45 a 49 anos";"9,77";"4,90";"4,86"
"Marco - Belém (PA)";"50 a 54 anos";"8,75";"4,32";"4,42"
"Marco - Belém (PA)";"55 a 59 anos";"7,06";"3,37";"3,69"
"Marco - Belém (PA)";"60 a 69 anos";"9,96";"4,48";"5,48"
"Marco - Belém (PA)";"70 anos ou mais";"9,11";"3,51";"5,60"
"Fátima - Belém (PA)";"Total";"100,00";"49,71";"50,29"
"Fátima - Belém (PA)";"10 a 14 anos";"0,71";"0,34";"0,36"
"Fátima - Belém (PA)";"15 a 19 anos";"2,54";"1,32";"1,22"
"Fátima - Belém (PA)";"15 a 17 anos";"0,96";"0,47";"0,49"
"Fátima - Belém (PA)";"18 ou 19 anos";"1,58";"0,85";"0,74"
"Fátima - Belém (PA)";"20 a 24 anos";"8,37";"4,20";"4,17"
"Fátima - Belém (PA)";"25 a 29 anos";"11,32";"6,05";"5,27"
"Fátima - Belém (PA)";"30 a 34 anos";"12,18";"6,80";"5,38"
"Fátima - Belém (PA)";"35 a 39 anos";"10,91";"5,82";"5,09"
"Fátima - Belém (PA)";"40 a 44 anos";"10,14";"4,94";"5,20"
"Fátima - Belém (PA)";"45 a 49 anos";"9,22";"4,94";"4,28"
"Fátima - Belém (PA)";"50 a 54 anos";"8,04";"4,20";"3,84"
"Fátima - Belém (PA)";"55 a 59 anos";"6,74";"3,06";"3,68"
"Fátima - Belém (PA)";"60 a 69 anos";"10,39";"4,55";"5,85"
"Fátima - Belém (PA)";"70 anos ou mais";"9,44";"3,50";"5,94"
"Nazaré - Belém (PA)";"Total";"100,00";"43,86";"56,14"
"Nazaré - Belém (PA)";"10 a 14 anos";"0,23";"0,08";"0,15"
"Nazaré - Belém (PA)";"15 a 19 anos";"1,61";"0,64";"0,97"
"Nazaré - Belém (PA)";"15 a 17 anos";"0,46";"0,15";"0,31"
"Nazaré - Belém (PA)";"18 ou 19 anos";"1,15";"0,49";"0,66"
"Nazaré - Belém (PA)";"20 a 24 anos";"6,87";"3,09";"3,78"
"Nazaré - Belém (PA)";"25 a 29 anos";"9,41";"4,32";"5,09"
"Nazaré - Belém (PA)";"30 a 34 anos";"9,59";"4,54";"5,05"
"Nazaré - Belém (PA)";"35 a 39 anos";"9,03";"4,13";"4,89"
"Nazaré - Belém (PA)";"40 a 44 anos";"8,88";"4,12";"4,76"
"Nazaré - Belém (PA)";"45 a 49 anos";"10,02";"4,52";"5,50"
"Nazaré - Belém (PA)";"50 a 54 anos";"9,40";"4,25";"5,15"
"Nazaré - Belém (PA)";"55 a 59 anos";"8,32";"3,68";"4,64"
"Nazaré - Belém (PA)";"60 a 69 anos";"12,65";"5,57";"7,08"
"Nazaré - Belém (PA)";"70 anos ou mais";"13,99";"4,92";"9,07"
"Pedreira - Belém (PA)";"Total";"100,00";"49,15";"50,85"
"Pedreira - Belém (PA)";"10 a 14 anos";"0,63";"0,30";"0,32"
"Pedreira - Belém (PA)";"15 a 19 anos";"2,07";"1,10";"0,96"
"Pedreira - Belém (PA)";"15 a 17 anos";"0,73";"0,36";"0,37"
"Pedreira - Belém (PA)";"18 ou 19 anos";"1,34";"0,74";"0,60"
"Pedreira - Belém (PA)";"20 a 24 anos";"8,42";"4,49";"3,93"
"Pedreira - Belém (PA)";"25 a 29 anos";"11,93";"6,21";"5,72"
"Pedreira - Belém (PA)";"30 a 34 anos";"12,00";"6,17";"5,83"
"Pedreira - Belém (PA)";"35 a 39 anos";"11,14";"5,63";"5,51"
"Pedreira - Belém (PA)";"40 a 44 anos";"10,61";"5,41";"5,21"
"Pedreira - Belém (PA)";"45 a 49 anos";"9,72";"4,94";"4,78"
"Pedreira - Belém (PA)";"50 a 54 anos";"8,73";"4,40";"4,33"
"Pedreira - Belém (PA)";"55 a 59 anos";"6,53";"3,25";"3,28"
"Pedreira - Belém (PA)";"60 a 69 anos";"9,37";"4,14";"5,23"
"Pedreira - Belém (PA)";"70 anos ou mais";"8,85";"3,10";"5,75"
"Reduto - Belém (PA)";"Total";"100,00";"44,43";"55,57"
"Reduto - Belém (PA)";"10 a 14 anos";"0,35";"0,12";"0,22"
"Reduto - Belém (PA)";"15 a 19 anos";"1,55";"0,74";"0,81"
"Reduto - Belém (PA)";"15 a 17 anos";"0,52";"0,20";"0,32"
"Reduto - Belém (PA)";"18 ou 19 anos";"1,04";"0,54";"0,49"
"Reduto - Belém (PA)";"20 a 24 anos";"7,10";"3,08";"4,02"
"Reduto - Belém (PA)";"25 a 29 anos";"11,05";"4,96";"6,09"
"Reduto - Belém (PA)";"30 a 34 anos";"9,94";"4,86";"5,08"
"Reduto - Belém (PA)";"35 a 39 anos";"8,24";"3,95";"4,29"
"Reduto - Belém (PA)";"40 a 44 anos";"7,79";"3,55";"4,24"
"Reduto - Belém (PA)";"45 a 49 anos";"9,77";"4,46";"5,30"
"Reduto - Belém (PA)";"50 a 54 anos";"10,01";"4,69";"5,33"
"Reduto - Belém (PA)";"55 a 59 anos";"8,81";"4,02";"4,79"
"Reduto - Belém (PA)";"60 a 69 anos";"13,67";"5,87";"7,79"
"Reduto - Belém (PA)";"70 anos ou mais";"11,72";"4,12";"7,60"
"Sacramenta - Belém (PA)";"Total";"100,00";"52,37";"47,63"
"Sacramenta - Belém (PA)";"10 a 14 anos";"1,15";"0,58";"0,57"
"Sacramenta - Belém (PA)";"15 a 19 anos";"2,86";"1,66";"1,20"
"Sacramenta - Belém (PA)";"15 a 17 anos";"1,13";"0,60";"0,53"
"Sacramenta - Belém (PA)";"18 ou 19 anos";"1,73";"1,06";"0,67"
"Sacramenta - Belém (PA)";"20 a 24 anos";"9,58";"5,47";"4,11"
"Sacramenta - Belém (PA)";"25 a 29 anos";"13,09";"7,22";"5,87"
"Sacramenta - Belém (PA)";"30 a 34 anos";"12,94";"7,03";"5,91"
"Sacramenta - Belém (PA)";"35 a 39 anos";"11,87";"6,49";"5,38"
"Sacramenta - Belém (PA)";"40 a 44 anos";"10,89";"5,85";"5,05"
"Sacramenta - Belém (PA)";"45 a 49 anos";"8,82";"4,63";"4,19"
"Sacramenta - Belém (PA)";"50 a 54 anos";"7,32";"4,00";"3,32"
"Sacramenta - Belém (PA)";"55 a 59 anos";"5,67";"2,86";"2,81"
"Sacramenta - Belém (PA)";"60 a 69 anos";"8,54";"3,95";"4,59"
"Sacramenta - Belém (PA)";"70 anos ou mais";"7,27";"2,63";"4,64"
"São Brás - Belém (PA)";"Total";"100,00";"44,60";"55,40"
"São Brás - Belém (PA)";"10 a 14 anos";"0,26";"0,13";"0,13"
"São Brás - Belém (PA)";"15 a 19 anos";"1,71";"0,88";"0,83"
"São Brás - Belém (PA)";"15 a 17 anos";"0,56";"0,24";"0,32"
"São Brás - Belém (PA)";"18 ou 19 anos";"1,15";"0,64";"0,51"
"São Brás - Belém (PA)";"20 a 24 anos";"7,50";"3,51";"3,99"
"São Brás - Belém (PA)";"25 a 29 anos";"10,63";"5,04";"5,59"
"São Brás - Belém (PA)";"30 a 34 anos";"10,32";"5,02";"5,30"
"São Brás - Belém (PA)";"35 a 39 anos";"8,38";"3,83";"4,55"
"São Brás - Belém (PA)";"40 a 44 anos";"9,07";"4,20";"4,88"
"São Brás - Belém (PA)";"45 a 49 anos";"9,78";"4,58";"5,20"
"São Brás - Belém (PA)";"50 a 54 anos";"9,50";"4,25";"5,24"
"São Brás - Belém (PA)";"55 a 59 anos";"8,07";"3,63";"4,44"
"São Brás - Belém (PA)";"60 a 69 anos";"11,77";"5,05";"6,72"
"São Brás - Belém (PA)";"70 anos ou mais";"13,00";"4,48";"8,52"
"Souza - Belém (PA)";"Total";"100,00";"49,75";"50,25"
"Souza - Belém (PA)";"10 a 14 anos";"0,37";"0,19";"0,18"
