Bairro,Grupo de idade,Total,Total.1,Total.2
Curió-Utinga,20 a 24 anos,876,478,398
Curió-Utinga,25 a 29 anos,1146,622,524
Curió-Utinga,30 a 34 anos,1061,572,489
Curió-Utinga,35 a 39 anos,1021,521,500
Curió-Utinga,40 a 44 anos,906,473,433
Curió-Utinga,45 a 49 anos,768,400,368
Curió-Utinga,50 a 54 anos,697,366,331
Curió-Utinga,55 a 59 anos,530,281,249
Curió-Utinga,60 a 69 anos,691,306,385
Curió-Utinga,70 anos ou mais,654,278,376
Val-de-Cães,Total,3642,1987,1655
Val-de-Cães,10 a 14 anos,32,17,15
Val-de-Cães,15 a 19 anos,76,35,41
Val-de-Cães,15 a 17 anos,28,16,12
Val-de-Cães,18 ou 19 anos,48,19,29
Val-de-Cães,20 a 24 anos,255,137,118
Val-de-Cães,25 a 29 anos,427,236,191
Val-de-Cães,30 a 34 anos,451,236,215
Val-de-Cães,35 a 39 anos,501,302,199
Val-de-Cães,40 a 44 anos,469,288,181
Val-de-Cães,45 a 49 anos,372,218,154
Val-de-Cães,50 a 54 anos,275,135,140
Val-de-Cães,55 a 59 anos,183,100,83
Val-de-Cães,60 a 69 anos,310,145,165
Val-de-Cães,70 anos ou mais,291,138,153
Mangueirão,Total,18105,9566,8539
Mangueirão,10 a 14 anos,160,85,75
Mangueirão,15 a 19 anos,614,327,287
Mangueirão,15 a 17 anos,233,113,120
Mangueirão,18 ou 19 anos,381,214,167
Mangueirão,20 a 24 anos,1917,1093,824
Mangueirão,25 a 29 anos,2501,1359,1142
Mangueirão,30 a 34 anos,2375,1265,1110
Mangueirão,35 a 39 anos,2272,1237,1035
Mangueirão,40 a 44 anos,2169,1164,1005
Mangueirão,45 a 49 anos,1793,945,848
Mangueirão,50 a 54 anos,1391,745,646
Mangueirão,55 a 59 anos,1000,517,483
Mangueirão,60 a 69 anos,1092,508,584
Mangueirão,70 anos ou mais,821,321,500
Universitário,Total,1054,658,396
Universitário,10 a 14 anos,1,-,1
Universitário,15 a 19 anos,32,22,10
Universitário,15 a 17 anos,12,12,-
Universitário,18 ou 19 anos,20,10,10
Universitário,20 a 24 anos,122,94,28
Universitário,25 a 29 anos,192,120,72
Universitário,30 a 34 anos,164,103,61
Universitário,35 a 39 anos,164,93,71
Universitário,40 a 44 anos,134,80,54
Universitário,45 a 49 anos,105,62,43
Universitário,50 a 54 anos,65,38,27
Universitário,55 a 59 anos,43,27,16
Universitário,60 a 69 anos,24,14,10
Universitário,70 anos ou mais,8,5,3
Castanheira,Total,13174,6916,6258
Castanheira,10 a 14 anos,102,55,47
Castanheira,15 a 19 anos,342,181,161
Castanheira,15 a 17 anos,130,63,67
Castanheira,18 ou 19 anos,212,118,94
Castanheira,20 a 24 anos,1298,705,593
Castanheira,25 a 29 anos,1780,1020,760
Castanheira,30 a 34 anos,1705,928,777
Castanheira,35 a 39 anos,1547,866,681
Castanheira,40 a 44 anos,1291,666,625
Castanheira,45 a 49 anos,1180,637,543
Castanheira,50 a 54 anos,958,515,443
Castanheira,55 a 59 anos,776,387,389
Castanheira,60 a 69 anos,1213,558,655
Castanheira,70 anos ou mais,982,398,584
Guanabara,Total,668,384,284
Guanabara,10 a 14 anos,6,3,3
Guanabara,15 a 19 anos,20,13,7
Guanabara,15 a 17 anos,7,3,4
Guanabara,18 ou 19 anos,13,10,3
Guanabara,20 a 24 anos,59,38,21
Guanabara,25 a 29 anos,114,77,37
Guanabara,30 a 34 anos,99,59,40
Guanabara,35 a 39 anos,86,45,41
Guanabara,40 a 44 anos,68,42,26
Guanabara,45 a 49 anos,33,17,16
Guanabara,50 a 54 anos,43,24,19
Guanabara,55 a 59 anos,33,14,19
Guanabara,60 a 69 anos,54,32,22
Guanabara,70 anos ou mais,53,20,33
Águas Lindas,Total,7738,4388,3350
Águas Lindas,10 a 14 anos,116,61,55
Águas Lindas,15 a 19 anos,338,209,129
Águas Lindas,15 a 17 anos,144,79,65
Águas Lindas,18 ou 19 anos,194,130,64
Águas Lindas,20 a 24 anos,871,541,330
Águas Lindas,25 a 29 anos,1157,697,460
Águas Lindas,30 a 34 anos,1184,664,520
