Bairro,Grupo de idade,Total,Total.1,Total.2
Curió-Utinga,45 a 49 anos,"1427,73","1595,60","1245,27"
Curió-Utinga,50 a 54 anos,"1663,94","1966,01","1329,92"
Curió-Utinga,55 a 59 anos,"1790,58","2034,04","1515,84"
Curió-Utinga,60 a 69 anos,"1623,95","1989,86","1333,13"
Curió-Utinga,70 anos ou mais,"1340,78","1577,83","1165,51"
Val-de-Cães,Total,"2800,99","3354,67","2136,24"
Val-de-Cães,10 a 14 anos,"304,25","357,94","243,40"
Val-de-Cães,15 a 19 anos,"537,05","569,00","509,78"
Val-de-Cães,15 a 17 anos,"363,82","359,06","370,17"
Val-de-Cães,18 ou 19 anos,"638,10","745,79","567,55"
Val-de-Cães,20 a 24 anos,"901,59","881,58","924,83"
Val-de-Cães,25 a 29 anos,"1848,13","2018,40","1637,74"
Val-de-Cães,30 a 34 anos,"2053,06","2610,21","1441,50"
Val-de-Cães,35 a 39 anos,"2890,95","3190,37","2436,56"
Val-de-Cães,40 a 44 anos,"3174,59","3684,72","2362,91"
Val-de-Cães,45 a 49 anos,"3366,79","4093,14","2338,58"
Val-de-Cães,50 a 54 anos,"3986,50","4993,21","3015,75"
Val-de-Cães,55 a 59 anos,"4085,89","5047,30","2927,55"
Val-de-Cães,60 a 69 anos,"3806,29","5029,86","2731,03"
Val-de-Cães,70 anos ou mais,"3408,95","4358,39","2552,58"
Mangueirão,Total,"1274,01","1453,37","1073,09"
Mangueirão,10 a 14 anos,"272,51","287,78","255,21"
Mangueirão,15 a 19 anos,"411,44","459,60","356,58"
Mangueirão,15 a 17 anos,"308,85","393,27","229,36"
Mangueirão,18 ou 19 anos,"474,18","494,62","447,99"
Mangueirão,20 a 24 anos,"721,58","780,97","642,80"
Mangueirão,25 a 29 anos,"1030,13","1098,48","948,78"
Mangueirão,30 a 34 anos,"1169,64","1299,44","1021,72"
Mangueirão,35 a 39 anos,"1400,61","1609,11","1151,42"
Mangueirão,40 a 44 anos,"1456,14","1720,81","1149,60"
Mangueirão,45 a 49 anos,"1535,81","1740,62","1307,56"
Mangueirão,50 a 54 anos,"1778,30","2147,33","1352,72"
Mangueirão,55 a 59 anos,"1773,61","1990,26","1541,71"
Mangueirão,60 a 69 anos,"1560,27","1948,32","1222,71"
Mangueirão,70 anos ou mais,"1202,17","1498,75","1011,76"
Universitário,Total,"627,33","664,98","564,77"
Universitário,10 a 14 anos,"510,00",-,"510,00"
Universitário,15 a 19 anos,"341,44","344,27","335,20"
Universitário,15 a 17 anos,"344,58","344,58",-
Universitário,18 ou 19 anos,"339,55","343,90","335,20"
Universitário,20 a 24 anos,"521,43","527,71","500,36"
Universitário,25 a 29 anos,"594,10","592,88","596,14"
Universitário,30 a 34 anos,"586,63","615,31","538,21"
Universitário,35 a 39 anos,"628,95","646,72","605,66"
Universitário,40 a 44 anos,"806,60","888,03","685,98"
Universitário,45 a 49 anos,"727,05","840,48","563,49"
Universitário,50 a 54 anos,"667,17","815,95","457,78"
Universitário,55 a 59 anos,"606,74","719,63","416,25"
Universitário,60 a 69 anos,"587,08","683,57","452,00"
Universitário,70 anos ou mais,"595,00","510,00","736,67"
Castanheira,Total,"1206,64","1342,21","1056,82"
Castanheira,10 a 14 anos,"271,10","284,75","255,13"
Castanheira,15 a 19 anos,"446,54","479,06","409,99"
Castanheira,15 a 17 anos,"325,12","337,86","313,15"
Castanheira,18 ou 19 anos,"521,00","554,44","479,01"
Castanheira,20 a 24 anos,"700,89","755,88","635,53"
Castanheira,25 a 29 anos,"913,09","935,79","882,61"
Castanheira,30 a 34 anos,"1115,07","1236,87","969,61"
Castanheira,35 a 39 anos,"1186,68","1376,84","944,86"
Castanheira,40 a 44 anos,"1282,43","1452,75","1100,94"
Castanheira,45 a 49 anos,"1486,57","1687,23","1251,18"
Castanheira,50 a 54 anos,"1502,81","1636,77","1347,07"
Castanheira,55 a 59 anos,"1644,21","1729,39","1559,46"
Castanheira,60 a 69 anos,"1726,08","2097,62","1409,57"
Castanheira,70 anos ou mais,"1247,25","1577,43","1022,22"
Guanabara,Total,"743,17","836,90","616,44"
Guanabara,10 a 14 anos,"160,00","83,67","236,33"
Guanabara,15 a 19 anos,"349,45","381,54","289,86"
Guanabara,15 a 17 anos,"395,71","523,33","300,00"
Guanabara,18 ou 19 anos,"324,54","339,00","276,33"
Guanabara,20 a 24 anos,"547,05","600,11","451,05"
Guanabara,25 a 29 anos,"654,26","738,96","478,00"
Guanabara,30 a 34 anos,"794,47","939,86","580,03"
Guanabara,35 a 39 anos,"854,91","1033,96","658,39"
Guanabara,40 a 44 anos,"854,12","1001,52","616,00"
Guanabara,45 a 49 anos,"846,91","919,29","770,00"
Guanabara,50 a 54 anos,"823,81","896,63","731,84"
Guanabara,55 a 59 anos,"897,45","899,00","896,32"
Guanabara,60 a 69 anos,"770,59","848,31","657,55"
Guanabara,70 anos ou mais,"693,77","776,50","643,64"
Águas Lindas,Total,"621,72","702,13","516,40"
Águas Lindas,10 a 14 anos,"156,37","180,00","130,16"
Águas Lindas,15 a 19 anos,"384,45","447,89","281,66"
Águas Lindas,15 a 17 anos,"265,38","322,18","196,35"
Águas Lindas,18 ou 19 anos,"472,83","524,29","368,30"
Águas Lindas,20 a 24 anos,"536,18","597,20","436,13"
Águas Lindas,25 a 29 anos,"581,25","630,16","507,14"
Águas Lindas,30 a 34 anos,"603,24","667,35","521,38"
Águas Lindas,35 a 39 anos,"647,74","767,93","511,16"
Águas Lindas,40 a 44 anos,"722,39","839,77","573,75"
Águas Lindas,45 a 49 anos,"736,37","841,32","592,30"
Águas Lindas,50 a 54 anos,"651,11","726,61","557,28"
Águas Lindas,55 a 59 anos,"711,45","833,49","548,39"
