Bairro,Grupo de idade,Total,Total.1,Total.2
Maracangalha,40 a 44 anos,"634,00","800,00","510,00"
Maracangalha,45 a 49 anos,"700,00","900,00","510,00"
Maracangalha,50 a 54 anos,"700,00","1000,00","510,00"
Maracangalha,55 a 59 anos,"700,00","1000,00","510,00"
Maracangalha,60 a 69 anos,"510,00","750,00","510,00"
Maracangalha,70 anos ou mais,"510,00","510,00","510,00"
Miramar,Total,"600,00","700,00","510,00"
Miramar,10 a 14 anos,"120,00","120,00","89,00"
Miramar,15 a 19 anos,"277,50","300,00","255,00"
Miramar,15 a 17 anos,"150,00","58,00","318,00"
Miramar,18 ou 19 anos,"300,00","582,50","255,00"
Miramar,20 a 24 anos,"510,00","510,00","510,00"
Miramar,25 a 29 anos,"585,00","510,00","750,00"
Miramar,30 a 34 anos,"770,00","1010,00","600,00"
Miramar,35 a 39 anos,"600,00","755,00","510,00"
Miramar,40 a 44 anos,"510,00","855,00","505,00"
Miramar,45 a 49 anos,"700,00","775,00","510,00"
Miramar,50 a 54 anos,"650,00","750,00","550,00"
Miramar,55 a 59 anos,"1350,00","1800,00","700,00"
Miramar,60 a 69 anos,"510,00","510,00","510,00"
Miramar,70 anos ou mais,"510,00","510,00","510,00"
Curió-Utinga,Total,"600,00","730,00","510,00"
Curió-Utinga,10 a 14 anos,"150,00","140,00","200,00"
Curió-Utinga,15 a 19 anos,"500,00","510,00","359,50"
Curió-Utinga,15 a 17 anos,"300,00","400,00","250,00"
Curió-Utinga,18 ou 19 anos,"510,00","510,00","505,00"
Curió-Utinga,20 a 24 anos,"510,00","510,00","510,00"
Curió-Utinga,25 a 29 anos,"560,00","600,00","510,00"
Curió-Utinga,30 a 34 anos,"600,00","700,00","510,00"
Curió-Utinga,35 a 39 anos,"600,00","800,00","510,00"
Curió-Utinga,40 a 44 anos,"700,00","800,00","510,00"
Curió-Utinga,45 a 49 anos,"800,00","1000,00","600,00"
Curió-Utinga,50 a 54 anos,"800,00","1020,00","600,00"
Curió-Utinga,55 a 59 anos,"900,00","1000,00","700,00"
Curió-Utinga,60 a 69 anos,"840,00","1200,00","549,00"
Curió-Utinga,70 anos ou mais,"512,50","777,50","510,00"
Val-de-Cães,Total,"1500,00","2000,00","1000,00"
Val-de-Cães,10 a 14 anos,"120,00","250,00","112,00"
Val-de-Cães,15 a 19 anos,"500,00","500,00","500,00"
Val-de-Cães,15 a 17 anos,"250,00","250,00","200,00"
Val-de-Cães,18 ou 19 anos,"510,00","510,00","510,00"
Val-de-Cães,20 a 24 anos,"537,00","600,00","510,00"
Val-de-Cães,25 a 29 anos,"1000,00","1200,00","720,00"
Val-de-Cães,30 a 34 anos,"1000,00","2000,00","800,00"
Val-de-Cães,35 a 39 anos,"1800,00","2000,00","1000,00"
Val-de-Cães,40 a 44 anos,"2000,00","2500,00","1200,00"
Val-de-Cães,45 a 49 anos,"2000,00","2500,00","1062,50"
Val-de-Cães,50 a 54 anos,"2400,00","3300,00","1990,00"
Val-de-Cães,55 a 59 anos,"2000,00","3000,00","1500,00"
Val-de-Cães,60 a 69 anos,"2350,00","4000,00","1500,00"
Val-de-Cães,70 anos ou mais,"2000,00","3000,00","1500,00"
Mangueirão,Total,"700,00","800,00","515,00"
Mangueirão,10 a 14 anos,"120,00","134,00","112,00"
Mangueirão,15 a 19 anos,"400,00","500,00","300,00"
Mangueirão,15 a 17 anos,"230,00","280,00","200,00"
Mangueirão,18 ou 19 anos,"510,00","510,00","450,00"
Mangueirão,20 a 24 anos,"510,00","510,00","510,00"
Mangueirão,25 a 29 anos,"600,00","700,00","530,00"
Mangueirão,30 a 34 anos,"700,00","800,00","600,00"
Mangueirão,35 a 39 anos,"800,00","1000,00","650,00"
Mangueirão,40 a 44 anos,"800,00","990,00","600,00"
Mangueirão,45 a 49 anos,"850,00","1000,00","650,00"
Mangueirão,50 a 54 anos,"1000,00","1200,00","735,00"
Mangueirão,55 a 59 anos,"1000,00","1200,00","900,00"
Mangueirão,60 a 69 anos,"765,00","1000,00","510,00"
Mangueirão,70 anos ou mais,"510,00","600,00","510,00"
Universitário,Total,"510,00","510,00","510,00"
