Bairro,Grupo de idade,N,N Homens,N Mulheres,P,P Homens,P Mulheres,avg,avg Homens,avg Mulheres,mdn,mdn Homens,mdn Mulheres
Nazaré,55 a 59 anos,1093.0,484.0,609.0,8.32,3.68,4.64,5895.17,7567.0,4566.5,4000.0,5000.0,3000.0
Nazaré,60 a 69 anos,1662.0,732.0,930.0,12.65,5.57,7.08,5615.56,7115.75,4434.77,4000.0,5000.0,3000.0
Nazaré,70 anos ou mais,1838.0,647.0,1191.0,13.99,4.92,9.07,4510.36,6323.51,3525.38,3000.0,4900.0,2381.0
Pedreira,Total,38128.0,18739.0,19389.0,100.0,49.15,50.85,1603.0,1784.38,1427.71,750.0,900.0,600.0
Pedreira,10 a 14 anos,239.0,116.0,123.0,0.63,0.3,0.32,376.07,407.42,346.5,200.0,300.0,134.0
Pedreira,15 a 19 anos,788.0,421.0,367.0,2.07,1.1,0.96,482.9,510.52,451.23,510.0,510.0,500.0
Pedreira,15 a 17 anos,278.0,138.0,140.0,0.73,0.36,0.37,404.86,426.02,384.01,300.0,307.5,300.0
Pedreira,18 ou 19 anos,510.0,283.0,227.0,1.34,0.74,0.6,525.45,551.72,492.69,510.0,510.0,510.0
Pedreira,20 a 24 anos,3209.0,1712.0,1497.0,8.42,4.49,3.93,767.69,806.14,723.72,510.0,510.0,510.0
Pedreira,25 a 29 anos,4548.0,2366.0,2182.0,11.93,6.21,5.72,1133.81,1196.2,1066.17,700.0,737.5,600.0
Pedreira,30 a 34 anos,4576.0,2354.0,2222.0,12.0,6.17,5.83,1484.98,1658.52,1301.12,800.0,900.0,700.0
Pedreira,35 a 39 anos,4249.0,2148.0,2101.0,11.14,5.63,5.51,1605.35,1791.2,1415.33,800.0,900.0,700.0
Pedreira,40 a 44 anos,4047.0,2061.0,1986.0,10.61,5.41,5.21,1768.65,1955.11,1575.16,980.0,1000.0,771.5
Pedreira,45 a 49 anos,3706.0,1882.0,1824.0,9.72,4.94,4.78,1972.33,2152.78,1786.14,1000.0,1100.0,800.0
Pedreira,50 a 54 anos,3328.0,1676.0,1652.0,8.73,4.4,4.33,2192.08,2648.94,1728.58,1020.0,1200.0,955.0
Pedreira,55 a 59 anos,2491.0,1241.0,1250.0,6.53,3.25,3.28,2525.05,2563.64,2486.74,1020.0,1350.0,900.0
Pedreira,60 a 69 anos,3574.0,1580.0,1994.0,9.37,4.14,5.23,1852.54,2250.41,1537.27,800.0,1020.0,600.0
Pedreira,70 anos ou mais,3373.0,1182.0,2191.0,8.85,3.1,5.75,1405.02,1654.52,1270.42,510.0,700.0,510.0
Reduto,Total,4054.0,1801.0,2253.0,100.0,44.43,55.57,4334.58,5641.71,3289.68,2300.0,3000.0,2000.0
Reduto,10 a 14 anos,14.0,5.0,9.0,0.35,0.12,0.22,973.57,1084.0,912.22,700.0,510.0,700.0
Reduto,15 a 19 anos,63.0,30.0,33.0,1.55,0.74,0.81,1044.14,1328.2,785.91,600.0,850.0,510.0
Reduto,15 a 17 anos,21.0,8.0,13.0,0.52,0.2,0.32,929.81,1338.88,678.08,800.0,1050.0,510.0
Reduto,18 ou 19 anos,42.0,22.0,20.0,1.04,0.54,0.49,1101.31,1324.32,856.0,575.0,800.0,510.0
Reduto,20 a 24 anos,288.0,125.0,163.0,7.1,3.08,4.02,1181.11,1295.14,1093.67,800.0,800.0,750.0
Reduto,25 a 29 anos,448.0,201.0,247.0,11.05,4.96,6.09,2353.31,2670.35,2095.31,1500.0,1800.0,1500.0
Reduto,30 a 34 anos,403.0,197.0,206.0,9.94,4.86,5.08,3184.96,3578.11,2808.99,2000.0,2500.0,1950.0
Reduto,35 a 39 anos,334.0,160.0,174.0,8.24,3.95,4.29,3725.48,4513.77,3000.61,2500.0,3000.0,2000.0
Reduto,40 a 44 anos,316.0,144.0,172.0,7.79,3.55,4.24,4379.45,5457.67,3476.74,2775.0,3500.0,2300.0
Reduto,45 a 49 anos,396.0,181.0,215.0,9.77,4.46,5.3,4867.27,5777.54,4100.94,3000.0,4000.0,2700.0
Reduto,50 a 54 anos,406.0,190.0,216.0,10.01,4.69,5.33,7768.54,10999.89,4926.15,3500.0,5000.0,2700.0
Reduto,55 a 59 anos,357.0,163.0,194.0,8.81,4.02,4.79,6233.9,8105.82,4661.11,4000.0,5000.0,3075.0
Reduto,60 a 69 anos,554.0,238.0,316.0,13.67,5.87,7.79,5832.8,7894.78,4279.78,3150.0,5000.0,2875.0
Reduto,70 anos ou mais,475.0,167.0,308.0,11.72,4.12,7.6,3470.39,5197.05,2534.19,2000.0,3000.0,1360.0
Sacramenta,Total,22709.0,11892.0,10817.0,100.0,52.37,47.63,906.75,1029.88,771.39,510.0,600.0,510.0
Sacramenta,10 a 14 anos,261.0,132.0,129.0,1.15,0.58,0.57,257.97,268.45,247.23,112.0,112.0,112.0
Sacramenta,15 a 19 anos,649.0,376.0,273.0,2.86,1.66,1.2,394.95,420.09,360.34,400.0,510.0,300.0
Sacramenta,15 a 17 anos,257.0,136.0,121.0,1.13,0.6,0.53,306.24,312.03,299.74,250.0,252.5,230.0
Sacramenta,18 ou 19 anos,392.0,240.0,152.0,1.73,1.06,0.67,453.11,481.32,408.59,510.0,510.0,435.0
Sacramenta,20 a 24 anos,2175.0,1242.0,933.0,9.58,5.47,4.11,652.29,687.12,605.92,510.0,510.0,510.0
Sacramenta,25 a 29 anos,2973.0,1640.0,1333.0,13.09,7.22,5.87,800.61,840.99,750.92,510.0,595.0,510.0
Sacramenta,30 a 34 anos,2938.0,1596.0,1342.0,12.94,7.03,5.91,867.83,955.58,763.47,520.0,665.0,510.0
Sacramenta,35 a 39 anos,2695.0,1474.0,1221.0,11.87,6.49,5.38,940.42,1071.41,782.29,600.0,705.0,510.0
Sacramenta,40 a 44 anos,2474.0,1328.0,1146.0,10.89,5.85,5.05,994.45,1139.04,826.91,600.0,800.0,510.0
Sacramenta,45 a 49 anos,2003.0,1051.0,952.0,8.82,4.63,4.19,1064.77,1245.97,864.72,600.0,800.0,510.0
